City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
72,broken hill,AU,80.6,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
73,hithadhoo,MV,81.46,overcast clouds,-0.6,73.0833,Scoop Guest House
75,ponta do sol,PT,55.99,broken clouds,32.6667,-17.1,Hotel do Campo
76,netarhat,IN,72.37,clear sky,23.4833,84.2667,Hotel Prakash
78,huarmey,PE,71.22,overcast clouds,-10.0681,-78.1522,Hotel Miramar
79,vega de alatorre,MX,66.6,light rain,20.0333,-96.6333,El Polo Norte
82,mar del plata,AR,61.0,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
83,ballina,AU,82.4,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
84,alegrete,BR,70.7,overcast clouds,-29.7831,-55.7919,Hotel Alegrete
86,hobyo,SO,80.01,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
87,braco do norte,BR,72.1,light rain,-28.275,-49.1656,Costa Nobre Hotel
92,richards bay,ZA,74.41,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
93,paka,MY,82.4,scattered clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
96,half moon bay,US,55.0,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
97,dolores,AR,58.05,scattered clouds,-36.3132,-57.6792,Apart Hotel - Arianos
98,faanui,PF,81.57,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
99,jalu,LY,53.04,clear sky,29.0331,21.5482,صاحبة الفخامة
100,gat,IL,57.0,clear sky,31.61,34.7642,OlusHome
104,guliston,UZ,52.79,clear sky,40.4897,68.7842,Sadafhotel
107,surt,LY,55.38,light rain,31.2089,16.5887,الهادي ابوشعاله سرت
110,salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
111,gaya,IN,59.0,mist,24.7833,85.0,Hotel Viraat Inn Gaya
116,hermanus,ZA,73.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
121,port alfred,ZA,66.99,clear sky,-33.5906,26.891,The Halyards Hotel
122,moerai,PF,80.47,broken clouds,-22.4333,-151.3333,Le Manotel
128,kedougou,SN,66.2,clear sky,12.5579,-12.1743,Relais de Kédougou
129,new norfolk,AU,64.99,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
130,bangassou,CF,80.82,overcast clouds,4.7413,22.8184,
131,guerrero negro,MX,59.86,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
133,hobart,AU,66.0,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
134,puerto leguizamo,CO,74.05,overcast clouds,-0.1934,-74.7819,la casona de juancho
135,waingapu,ID,82.27,light rain,-9.6567,120.2641,Pondok Wisata Elim
136,esperance,AU,78.8,clear sky,-33.8667,121.9,Hospitality Esperance
138,honiara,SB,83.25,light rain,-9.4333,159.95,Heritage Park Hotel
139,rodrigues alves,BR,72.61,broken clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
140,kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
142,touros,BR,73.4,few clouds,-5.1989,-35.4608,INN NEW HORIZON
143,hilo,US,73.4,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
146,sechura,PE,71.33,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
148,camacha,PT,59.0,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
150,xaxim,BR,67.62,moderate rain,-26.9617,-52.5347,Hotel São Luiz
153,bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
154,kiama,AU,70.0,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
157,cabo san lucas,MX,59.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
159,dunedin,NZ,60.01,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
160,batemans bay,AU,71.01,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
162,charlestown,AU,75.0,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
165,ribeira grande,PT,63.14,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
166,santa rosa,PH,86.0,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
167,carauari,BR,72.9,heavy intensity rain,-4.8828,-66.8958,Hotel Fellip
168,bambous virieux,MU,86.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
171,ca mau,VN,88.88,clear sky,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
172,alyangula,AU,78.8,light rain,-13.8483,136.4192,Groote Eylandt Lodge
174,faya,SA,60.8,clear sky,18.3851,42.4509,مقبرة ال مجمل
