City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,brae,GB,2021-01-17 06:34:14,60.3964,-1.353,46.4,81,75,28.77,light rain
120,hasaki,JP,2021-01-17 06:34:05,35.7333,140.8333,44.01,61,75,6.91,light rain
121,port alfred,ZA,2021-01-17 06:33:49,-33.5906,26.891,66.99,93,8,5.01,clear sky
122,moerai,PF,2021-01-17 06:42:07,-22.4333,-151.3333,80.47,67,77,8.5,broken clouds
123,saskylakh,RU,2021-01-17 06:33:51,71.9167,114.0833,-27.58,84,79,5.82,broken clouds
124,nizhniy tsasuchey,RU,2021-01-17 06:42:07,50.5167,115.1333,-6.25,71,95,14.58,overcast clouds
125,kerchevskiy,RU,2021-01-17 06:42:08,59.946,56.2884,6.35,95,100,6.22,light snow
126,la ligua,CL,2021-01-17 06:42:08,-32.4524,-71.2311,49.08,75,0,0.56,clear sky
127,chokurdakh,RU,2021-01-17 06:34:00,70.6333,147.9167,-19.28,88,100,11.16,overcast clouds
128,kedougou,SN,2021-01-17 06:42:08,12.5579,-12.1743,66.2,32,1,6.91,clear sky
129,new norfolk,AU,2021-01-17 06:33:49,-42.7826,147.0587,64.99,61,100,4.0,overcast clouds
130,bangassou,CF,2021-01-17 06:42:08,4.7413,22.8184,80.82,29,99,3.22,overcast clouds
131,guerrero negro,MX,2021-01-17 06:42:08,27.9769,-114.0611,59.86,64,0,5.44,clear sky
132,nikolskoye,RU,2021-01-17 06:33:50,59.7035,30.7861,14.0,92,75,4.47,light snow
133,hobart,AU,2021-01-17 06:31:33,-42.8794,147.3294,66.0,52,40,21.85,scattered clouds
134,puerto leguizamo,CO,2021-01-17 06:42:08,-0.1934,-74.7819,74.05,81,100,1.7,overcast clouds
135,waingapu,ID,2021-01-17 06:42:08,-9.6567,120.2641,82.27,77,100,3.24,light rain
136,esperance,AU,2021-01-17 06:33:56,-33.8667,121.9,78.8,38,0,21.85,clear sky
137,bethel,US,2021-01-17 06:33:54,41.3712,-73.414,34.0,69,1,11.5,clear sky
138,honiara,SB,2021-01-17 06:34:06,-9.4333,159.95,83.25,74,2,3.04,light rain
139,rodrigues alves,BR,2021-01-17 06:42:08,-7.738,-72.6509,72.61,95,80,2.28,broken clouds
140,kapaa,US,2021-01-17 06:33:48,22.0752,-159.319,75.2,88,75,5.75,broken clouds
141,thompson,CA,2021-01-17 06:33:56,55.7435,-97.8558,-4.0,84,1,9.22,snow
142,touros,BR,2021-01-17 06:34:03,-5.1989,-35.4608,73.4,83,20,3.44,few clouds
143,hilo,US,2021-01-17 06:33:52,19.7297,-155.09,73.4,73,90,3.44,overcast clouds
144,suraabad,AZ,2021-01-17 06:42:08,40.8192,49.4687,48.2,93,90,9.22,overcast clouds
145,oranjemund,NA,2021-01-17 06:33:59,-28.55,16.4333,67.15,67,0,11.61,clear sky
146,sechura,PE,2021-01-17 06:42:09,-5.5569,-80.8222,71.33,81,98,11.43,overcast clouds
147,deputatskiy,RU,2021-01-17 06:34:12,69.3,139.9,-23.91,89,100,1.95,overcast clouds
148,camacha,PT,2021-01-17 06:33:49,33.0833,-16.3333,59.0,63,40,9.22,scattered clouds
149,la paz,BO,2021-01-17 06:39:26,-16.5,-68.15,42.8,93,75,4.61,broken clouds
150,xaxim,BR,2021-01-17 06:42:09,-26.9617,-52.5347,67.62,94,100,5.12,moderate rain
151,penzance,GB,2021-01-17 06:42:09,50.1186,-5.5371,44.6,76,75,10.36,broken clouds
152,khromtau,KZ,2021-01-17 06:42:09,50.2503,58.4347,16.14,96,0,17.76,clear sky
153,bathsheba,BB,2021-01-17 06:34:00,13.2167,-59.5167,77.0,83,40,11.5,scattered clouds
154,kiama,AU,2021-01-17 06:42:09,-34.6833,150.8667,70.0,68,41,5.99,scattered clouds
155,belaya gora,RU,2021-01-17 06:33:56,68.5333,146.4167,-28.98,85,95,2.77,overcast clouds
156,sangar,RU,2021-01-17 06:42:09,63.9242,127.4739,-38.43,81,100,2.04,overcast clouds
157,cabo san lucas,MX,2021-01-17 06:33:50,22.8909,-109.9124,59.0,63,0,1.01,clear sky
158,katsuura,JP,2021-01-17 06:33:54,35.1333,140.3,48.99,42,75,5.01,broken clouds
159,dunedin,NZ,2021-01-17 06:32:03,-45.8742,170.5036,60.01,79,99,5.99,light rain
160,batemans bay,AU,2021-01-17 06:42:09,-35.7167,150.1833,71.01,56,0,4.0,clear sky
161,tiksi,RU,2021-01-17 06:34:19,71.6872,128.8694,-19.61,88,100,8.7,overcast clouds
162,charlestown,AU,2021-01-17 06:42:09,-32.95,151.6667,75.0,72,96,12.62,overcast clouds
163,nanortalik,GL,2021-01-17 06:34:19,60.1432,-45.2371,25.5,95,100,5.91,overcast clouds
164,vostok,RU,2021-01-17 06:34:08,46.4856,135.8833,-3.75,91,100,2.46,overcast clouds
165,ribeira grande,PT,2021-01-17 06:33:50,38.5167,-28.7,63.14,86,100,26.64,overcast clouds
166,santa rosa,PH,2021-01-17 06:40:03,14.3122,121.1114,86.0,59,94,3.0,overcast clouds
167,carauari,BR,2021-01-17 06:40:41,-4.8828,-66.8958,72.9,97,100,1.99,heavy intensity rain
168,bambous virieux,MU,2021-01-17 06:33:54,-20.3428,57.7575,86.0,70,75,13.8,broken clouds
169,korla,CN,2021-01-17 06:34:04,41.7597,86.1469,27.82,71,0,12.21,clear sky
170,sinop,TR,2021-01-17 06:42:09,41.7711,34.8709,34.61,83,100,10.2,light snow
171,ca mau,VN,2021-01-17 06:40:13,9.1769,105.15,88.88,42,8,8.37,clear sky
172,alyangula,AU,2021-01-17 06:42:10,-13.8483,136.4192,78.8,94,90,14.97,light rain
173,havre-saint-pierre,CA,2021-01-17 06:34:09,50.2334,-63.5986,24.8,93,90,19.57,light snow
174,faya,SA,2021-01-17 06:34:18,18.3851,42.4509,60.8,51,0,11.5,clear sky
175,sakakah,SA,2021-01-17 06:42:10,29.9697,40.2064,46.4,61,0,5.75,clear sky
176,ranau,MY,2021-01-17 06:42:10,5.9538,116.6641,73.4,94,40,3.44,moderate rain
177,catamarca,AR,2021-01-17 06:42:10,-28.4696,-65.7852,62.01,99,100,4.0,light rain
178,deogarh,IN,2021-01-17 06:42:10,21.5333,84.7333,81.55,21,0,3.83,clear sky
179,severo-yeniseyskiy,RU,2021-01-17 06:42:10,60.3725,93.0408,-10.97,90,100,6.53,overcast clouds
180,severo-kurilsk,RU,2021-01-17 06:34:03,50.6789,156.125,29.01,97,85,21.45,snow
181,kommunisticheskiy,RU,2021-01-17 06:42:10,61.6789,64.4819,-6.09,91,100,5.91,light snow
182,vila velha,BR,2021-01-17 06:42:10,-20.3297,-40.2925,73.0,94,0,3.44,clear sky
183,nan,TH,2021-01-17 06:42:10,18.8333,100.6667,82.4,51,0,6.91,clear sky
184,nipawin,CA,2021-01-17 06:42:10,53.3668,-104.0009,14.0,79,1,6.91,clear sky
185,svetlogorsk,BY,2021-01-17 06:42:10,52.6333,29.7333,2.59,93,100,6.8,overcast clouds
186,mandvi,IN,2021-01-17 06:42:10,22.8333,69.3667,76.8,33,0,4.9,clear sky
187,salina cruz,MX,2021-01-17 06:42:11,16.1667,-95.2,70.95,70,35,17.16,scattered clouds
188,mahon,ES,2021-01-17 06:42:11,39.8885,4.2658,51.8,82,0,9.22,clear sky
189,toul,FR,2021-01-17 06:42:11,48.6667,5.9167,41.0,100,90,5.75,fog
190,naze,JP,2021-01-17 06:34:20,28.3667,129.4833,55.4,62,75,17.27,broken clouds
191,lichtenburg,ZA,2021-01-17 06:42:11,-26.152,26.1597,75.99,36,2,9.93,clear sky
192,mackay,AU,2021-01-17 06:42:11,-21.15,149.2,82.4,78,40,14.97,scattered clouds
193,fallon,US,2021-01-17 06:34:16,39.4735,-118.7774,32.0,80,1,4.41,clear sky
194,marzuq,YE,2021-01-17 06:42:11,14.4,46.4667,73.45,21,38,2.3,scattered clouds
195,longyearbyen,SJ,2021-01-17 06:33:51,78.2186,15.6401,21.2,86,75,11.5,broken clouds
196,zonguldak,TR,2021-01-17 06:42:11,41.25,31.8333,30.61,100,100,2.28,light snow
197,tomatlan,MX,2021-01-17 06:34:23,19.9333,-105.25,67.68,66,100,2.08,overcast clouds
198,ban nahin,LA,2021-01-17 06:42:11,18.2418,104.2122,84.0,43,100,9.8,overcast clouds
199,sisimiut,GL,2021-01-17 06:42:11,66.9395,-53.6735,20.5,83,100,18.03,overcast clouds
200,saint-joseph,RE,2021-01-17 06:34:24,-21.3667,55.6167,86.0,66,0,8.05,clear sky
201,marfino,RU,2021-01-17 06:42:11,55.7028,37.3822,-4.0,77,75,11.18,broken clouds
202,apeldoorn,NL,2021-01-17 06:42:11,52.21,5.9694,33.01,100,90,4.61,mist
203,kenscoff,HT,2021-01-17 06:42:12,18.4506,-72.2869,71.6,78,100,8.05,overcast clouds
204,belyy yar,RU,2021-01-17 06:33:55,53.6039,91.3903,12.2,73,100,2.24,overcast clouds
205,puerto escondido,MX,2021-01-17 06:34:07,15.85,-97.0667,75.11,75,100,3.8,overcast clouds
206,cherskiy,RU,2021-01-17 06:33:51,68.75,161.3,-23.15,86,100,3.2,overcast clouds
207,penarroya-pueblonuevo,ES,2021-01-17 06:42:12,38.3,-5.2667,42.01,93,0,2.3,clear sky
208,trairi,BR,2021-01-17 06:39:47,-3.2778,-39.2689,79.2,79,100,10.16,overcast clouds
209,sao jose da coroa grande,BR,2021-01-17 06:34:02,-8.8978,-35.1478,76.12,84,0,9.55,clear sky
210,pandan,PH,2021-01-17 06:34:07,14.0453,124.1694,80.42,84,88,10.63,overcast clouds
211,kavieng,PG,2021-01-17 06:33:57,-2.5744,150.7967,84.31,73,86,17.54,overcast clouds
212,comodoro rivadavia,AR,2021-01-17 06:42:12,-45.8667,-67.5,53.6,76,0,3.51,clear sky
213,bubaque,GW,2021-01-17 06:34:16,11.2833,-15.8333,75.43,69,99,12.66,overcast clouds
214,sevierville,US,2021-01-17 06:37:34,35.8681,-83.5618,36.0,63,99,5.01,overcast clouds
215,kovdor,RU,2021-01-17 06:42:12,67.5662,30.4758,15.89,97,72,3.47,broken clouds
216,malmo,SE,2021-01-17 06:42:12,55.6059,13.0007,28.4,93,90,3.44,overcast clouds
217,celestun,MX,2021-01-17 06:34:09,20.8667,-90.4,64.35,68,98,5.97,overcast clouds
218,marrakesh,MA,2021-01-17 06:42:12,31.6315,-8.0083,39.2,87,0,2.3,clear sky
219,cockburn town,TC,2021-01-17 06:33:51,21.4612,-71.1419,77.76,75,100,7.36,overcast clouds
220,axim,GH,2021-01-17 06:42:12,4.8699,-2.2405,78.57,84,2,3.85,clear sky
221,anadyr,RU,2021-01-17 06:42:12,64.75,177.4833,-7.01,77,75,6.71,light snow
222,sao joao da barra,BR,2021-01-17 06:34:25,-21.6403,-41.0511,73.24,86,0,12.21,clear sky
223,padang,ID,2021-01-17 06:31:10,-0.9492,100.3543,89.6,58,40,8.05,light rain
224,mount gambier,AU,2021-01-17 06:33:56,-37.8333,140.7667,68.0,45,0,14.97,clear sky
225,siniscola,IT,2021-01-17 06:42:13,40.5719,9.6922,48.2,76,40,23.02,scattered clouds
226,tasiilaq,GL,2021-01-17 06:33:52,65.6145,-37.6368,26.6,93,40,3.44,scattered clouds
227,georgetown,MY,2021-01-17 06:29:29,5.4112,100.3354,87.01,70,20,9.22,few clouds
228,mecca,SA,2021-01-17 06:42:13,21.4267,39.8261,72.19,63,4,5.97,clear sky
229,los llanos de aridane,ES,2021-01-17 06:33:54,28.6585,-17.9182,64.4,59,90,9.22,overcast clouds
230,zhigansk,RU,2021-01-17 06:42:13,66.7697,123.3711,-41.6,81,91,5.12,overcast clouds
231,rocha,UY,2021-01-17 06:33:57,-34.4833,-54.3333,65.86,96,0,6.87,clear sky
232,burns lake,CA,2021-01-17 06:42:13,54.2331,-125.7533,30.2,93,98,2.3,overcast clouds
233,port lincoln,AU,2021-01-17 06:34:00,-34.7333,135.8667,66.09,64,38,14.41,scattered clouds
234,cocal,BR,2021-01-17 06:42:13,-28.6167,-49.35,71.76,92,87,2.82,overcast clouds
235,cayenne,GF,2021-01-17 06:30:05,4.9333,-52.3333,77.0,100,75,2.3,light rain
236,bandarbeyla,SO,2021-01-17 06:34:06,9.4942,50.8122,78.24,59,0,11.41,clear sky
237,brownwood,US,2021-01-17 06:37:48,31.7093,-98.9912,37.4,56,75,4.61,broken clouds
238,manggar,ID,2021-01-17 06:42:13,-2.8833,108.2667,77.36,88,100,8.41,overcast clouds
239,kailua,US,2021-01-17 06:42:13,21.4022,-157.7394,77.0,73,40,6.91,scattered clouds
240,minador do negrao,BR,2021-01-17 06:42:13,-9.3053,-36.8647,68.5,92,43,4.29,scattered clouds
241,ashland,US,2021-01-17 06:42:13,40.8167,-82.2665,32.0,93,90,8.05,overcast clouds
242,urdoma,RU,2021-01-17 06:42:13,61.7533,48.5442,-9.94,90,4,4.47,clear sky
243,labuhan,ID,2021-01-17 06:34:09,-6.8844,112.2051,83.44,77,21,13.98,light rain
244,chuy,UY,2021-01-17 06:33:59,-33.6971,-53.4616,66.43,91,1,3.74,clear sky
245,maniitsoq,GL,2021-01-17 06:33:50,65.4167,-52.9,22.71,97,100,9.28,snow
246,ampanihy,MG,2021-01-17 06:42:14,-24.7,44.75,94.96,35,90,6.89,overcast clouds
247,husavik,IS,2021-01-17 06:33:52,66.0449,-17.3389,33.8,100,90,3.44,light snow
248,cape town,ZA,2021-01-17 06:28:53,-33.9258,18.4232,73.0,73,0,5.75,clear sky
249,bengkulu,ID,2021-01-17 06:34:01,-3.8004,102.2655,85.35,61,100,7.38,moderate rain
250,cidreira,BR,2021-01-17 06:33:51,-30.1811,-50.2056,73.18,89,100,6.87,overcast clouds
251,olafsvik,IS,2021-01-17 06:34:00,64.8945,-23.7142,35.33,93,100,14.76,light snow
252,tuktoyaktuk,CA,2021-01-17 06:33:58,69.4541,-133.0374,-2.2,78,90,5.75,light snow
253,ibotirama,BR,2021-01-17 06:39:19,-12.1853,-43.2206,67.93,91,100,2.48,overcast clouds
254,buraydah,SA,2021-01-17 06:42:13,26.326,43.975,57.2,58,0,6.91,clear sky
